stock_id:ID,name,list_date,reg_capital,setup_date,employees,:LABEL
000001,平安银行,19910403,1717041.1366,19871222,33708.0,Company
000002,万科A,19910129,1130214.3001,19840530,104300.0,Company
000004,国农科技,19910114,8397.6684,19860505,210.0,Company
000005,世纪星源,19901210,105853.6842,19890508,745.0,Company
000006,深振业A,19920427,134999.5046,19890525,377.0,Company
000007,全新好,19920413,34644.8044,19830311,84.0,Company
000008,神州高铁,19920507,278079.5346,19891011,2631.0,Company
000009,中国宝安,19910625,257921.3965,19901008,13620.0,Company
000010,*ST美丽,19951027,81985.4713,19890109,545.0,Company;ST
000011,深物业A,19920330,59597.9092,19830117,5504.0,Company
000012,南玻A,19920228,310819.6163,19840910,10800.0,Company
000014,沙河股份,19920602,20170.5187,19870727,148.0,Company
000016,深康佳A,19920327,240794.5408,19801001,18965.0,Company
000017,深中华A,19920331,55134.7947,19840824,53.0,Company
000018,*ST神城,19920616,169824.5011,19840427,821.0,Company;ST
000019,深粮控股,19921012,115253.5254,19810730,1096.0,Company
000020,深华发A,19920428,28316.1227,19811208,1016.0,Company
000021,深科技,19940202,147125.9363,19850704,21974.0,Company
000023,深天地A,19930429,13875.624,19841116,1088.0,Company
000025,特力A,19930621,43105.832,19861110,337.0,Company
000026,飞亚达A,19930603,44296.8881,19900330,5162.0,Company
000027,深圳能源,19930903,396449.1597,19930821,6649.0,Company
000028,国药一致,19930809,42812.6983,19860802,24821.0,Company
000029,深深房A,19930915,101166.0,19860719,1954.0,Company
000030,富奥股份,19930929,181055.2111,19881006,7560.0,Company
000031,大悦城,19931008,392587.0338,19931008,4238.0,Company
000032,深桑达A,19931028,41321.9661,19931204,457.0,Company
000034,神州数码,19940509,65407.0434,19820601,4228.0,Company
000035,中国天楹,19940408,243873.6365,19841231,8631.0,Company
000036,华联控股,19940617,148393.4025,19890911,835.0,Company
000037,深南电A,19940701,60276.2596,19900406,520.0,Company
000038,深大通,19940808,52277.7419,19870624,246.0,Company
000039,中集集团,19940408,358253.0682,19800114,51253.0,Company
000040,东旭蓝天,19940808,148687.387,19820323,2265.0,Company
000042,中洲控股,19940921,66483.1139,19840917,2543.0,Company
000043,中航善达,19940928,66696.1416,19850529,19886.0,Company
000045,深纺织A,19940815,51127.4149,19820430,1337.0,Company
000046,泛海控股,19940912,519620.0656,19890509,10170.0,Company
000048,*ST康达,19941101,39076.8671,19790101,1556.0,Company;ST
000049,德赛电池,19950320,20524.3738,19850904,10565.0,Company
000050,深天马A,19950315,204812.3051,19831108,40513.0,Company
000055,方大集团,19960415,112338.4189,19940420,2206.0,Company
000056,皇庭国际,19960708,117534.5368,19850119,722.0,Company
000058,深赛格,19961226,123565.6249,19960716,2411.0,Company
000059,华锦股份,19970130,159944.2537,19970123,8298.0,Company
000060,中金岭南,19970123,356968.5327,19840901,9855.0,Company
000061,农产品,19970110,169696.4131,19890114,4824.0,Company
000062,深圳华强,19970130,104590.9322,19940119,1905.0,Company
000063,中兴通讯,19971118,419267.1843,19971111,68240.0,Company
000065,北方国际,19980605,76950.541,19860405,1921.0,Company
000066,中国长城,19970626,293616.55600000004,19970619,13846.0,Company
000068,华控赛格,19970611,100667.1464,19970606,541.0,Company
000069,华侨城A,19970910,820408.1415,19970902,24934.0,Company
000070,特发信息,20000511,79905.6581,19990729,4179.0,Company
000078,海王生物,19981218,276258.3257,19921213,11615.0,Company
000088,盐田港,19970728,194220.0,19970721,775.0,Company
000089,深圳机场,19980420,205076.9509,19980410,5720.0,Company
000090,天健集团,19990721,186854.5434,19931206,7485.0,Company
000096,广聚能源,20000724,52800.0,19990218,403.0,Company
000099,中信海直,20000731,60607.042,19990211,1090.0,Company
000100,TCL集团,20040130,1354964.8507,19820311,89750.0,Company
