Unnamed: 0,ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio
11149,002459,20190427.0,20190331,交通银行股份有限公司-博时新兴成长混合型证券投资基金,2499892.0,0.64
11151,002430,20190426.0,20190331,杭州市实业投资集团有限公司,14806155.0,1.53
11152,002430,20190426.0,20190331,浙江广杰投资管理有限公司,13283333.0,1.38
11153,002430,20190426.0,20190331,杭州商旅金融投资有限公司,21728088.0,2.25
11154,002430,20190426.0,20190331,中国华融资产管理股份有限公司,104461053.0,10.83
11155,002430,20190426.0,20190331,中央汇金资产管理有限责任公司,10664700.0,1.11
11156,002430,20190426.0,20190331,昌都市凯丰投资管理有限公司-凯丰宏观对冲11号私募基金,4800961.0,0.5
11157,002430,20190426.0,20190331,深圳市凯丰投资管理有限公司-凯丰宏观对冲9号资产管理计划,7206527.0,0.75
11158,002430,20190426.0,20190331,杭州制氧机集团有限公司,524754485.0,54.4
11159,002430,20190426.0,20190331,昌都市凯丰投资管理有限公司-凯丰宏观对冲12号私募基金,4827246.0,0.5
11160,002430,20190426.0,20190331,深圳市凯丰投资管理有限公司-凯丰宏观对冲10号基金,6167036.0,0.64
11161,002284,20190430.0,20190331,中国汽车技术研究中心有限公司,3744000.0,0.51
11162,002284,20190430.0,20190331,宁波梅山保税港区智石资产管理有限公司-智石私募证券投资基金,3700000.0,0.5
11170,002284,20190430.0,20190331,亚太机电集团有限公司,286331656.0,38.82
11171,002228,20190427.0,20190331,上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金,56000000.0,4.79
11173,002228,20190427.0,20190331,新疆兴汇聚股权投资管理有限合伙企业,397173280.0,33.96
11174,002228,20190427.0,20190331,兴证证券资管-浦发银行-兴证资管鑫众15号集合资产管理计划,12482291.0,1.07
11175,002228,20190427.0,20190331,宏立投资有限公司,124703040.0,10.66
11176,002228,20190427.0,20190331,中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF),15013666.0,1.28
11179,002228,20190427.0,20190331,香港中央结算有限公司(陆股通),17316573.0,1.48
11181,002544,20190426.0,20190331,深圳市中科招商创业投资有限公司,29000000.0,5.08
11182,002544,20190426.0,20190331,广州通信研究所(中国电子科技集团公司第七研究所),178070577.0,31.18
11183,002544,20190426.0,20190331,中央汇金资产管理有限责任公司,6384500.0,1.12
11184,002544,20190426.0,20190331,香港中央结算有限公司(陆股通),5880800.0,1.03
11185,002544,20190426.0,20190331,中华通信系统有限责任公司,11641649.0,2.04
11186,002544,20190426.0,20190331,石家庄通信测控技术研究所(中国电子科技集团公司第五十四研究所),41617173.0,7.29
11187,002544,20190426.0,20190331,中国建设银行股份有限公司-易方达国防军工混合型证券投资基金,4400000.0,0.77
11188,002544,20190426.0,20190331,全国社保基金一零八组合,24788066.0,4.34
11189,002544,20190426.0,20190331,中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,7459897.0,1.31
11190,002544,20190426.0,20190331,中电科投资控股有限公司,5278694.0,0.92
11194,002282,20190416.0,20190331,中意资管-招商银行-中意资产-招商银行-定增精选69号资产管理产品,5673222.0,1.3
11205,002362,20190424.0,20190331,中央汇金资产管理有限责任公司,2385600.0,1.1
11207,002362,20190424.0,20190331,中国科学院自动化研究所,12611564.0,5.81
11208,002362,20190424.0,20190331,汉王科技股份有限公司-第2期员工持股计划,2253348.0,1.04
11213,002283,20190424.0,20190331,天润联合集团有限公司,174991840.0,15.52
11222,002253,20190424.0,20190331,四川智胜视科航空航天技术有限公司,15778500.0,6.99
11224,002253,20190424.0,20190331,四川力攀投资咨询有限责任公司,2680302.0,1.19
11227,002253,20190424.0,20190331,中央汇金资产管理有限责任公司,4238850.0,1.88
11229,002253,20190424.0,20190331,成都西南民航巨龙实业有限公司,4416360.0,1.96
11230,002253,20190424.0,20190331,成都西南民航空管实业有限公司,7610250.0,3.37
11231,002246,20190423.0,20190331,中国建设银行股份有限公司-华夏中证四川国企改革交易型开放式指数证券投资基金,12124400.0,2.21
11233,002246,20190423.0,20190331,中央汇金资产管理有限责任公司,5214200.0,0.95
