,ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio
289,002372.SZ,20190425,20190331,全国社保基金四零六组合,23445119.0,1.79
290,002372.SZ,20190425,20190331,临海慧星投资发展有限公司,257346987.0,19.63
291,300081.SZ,20190423,20190331,裴军,18670810.0,3.53
292,300081.SZ,20190423,20190331,邵志坚,5565900.0,1.05
293,300081.SZ,20190423,20190331,宁波梅山保税港区东岦投资合伙企业(有限合伙),14112615.0,2.66
294,300081.SZ,20190423,20190331,厦门荣信博投资合伙企业(有限合伙),16776123.0,3.17
295,300081.SZ,20190423,20190331,金鹰基金-工商银行-万向信托-万向信托-星辰50号事务管理类单一资金信托,12323595.0,2.33
296,300081.SZ,20190423,20190331,周杰,10525030.0,1.99
297,300081.SZ,20190423,20190331,孟宪民,145272966.0,27.43
298,300081.SZ,20190423,20190331,王冰,36278366.0,6.85
299,300081.SZ,20190423,20190331,孙健,6510550.0,1.23
300,300081.SZ,20190423,20190331,沈阳政利投资有限公司,14255167.0,2.69
301,300170.SZ,20190418,20190331,北京百度网讯科技有限公司,46655483.0,5.26
302,300170.SZ,20190418,20190331,全国社保基金四零四组合,10561710.0,1.19
303,300170.SZ,20190418,20190331,上海东方证券资管-光大银行-东证资管汉得信息1号集合资产管理计划,12890839.0,1.45
304,300170.SZ,20190418,20190331,全国社保基金一零七组合,16411786.0,1.85
305,300170.SZ,20190418,20190331,招商银行股份有限公司-鹏华新兴产业混合型证券投资基金,8370833.0,0.94
306,300170.SZ,20190418,20190331,中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金,12160831.0,1.37
307,300170.SZ,20190418,20190331,邓辉,8778800.0,0.99
308,300170.SZ,20190418,20190331,全国社保基金一零二组合,10564549.0,1.19
309,300170.SZ,20190418,20190331,陈迪清,69983300.0,7.88
310,300170.SZ,20190418,20190331,范建震,69983148.0,7.88
311,002484.SZ,20190426,20190331,朱祥,74673746.0,9.16
312,002484.SZ,20190426,20190331,中央汇金资产管理有限责任公司,8366800.0,1.03
313,002484.SZ,20190426,20190331,億威投資有限公司,259584000.0,31.84
314,002484.SZ,20190426,20190331,南通招商江海产业发展基金合伙企业(有限合伙),12980000.0,1.59
315,002484.SZ,20190426,20190331,湖南艾华投资有限公司,10466678.0,1.28
316,002484.SZ,20190426,20190331,安徽中安资本投资基金有限公司,15366429.0,1.89
317,002484.SZ,20190426,20190331,陈卫东,18327348.0,2.25
318,002484.SZ,20190426,20190331,香港中央结算有限公司(陆股通),7184335.0,0.88
319,002484.SZ,20190426,20190331,陆军,12611040.0,1.55
320,002484.SZ,20190426,20190331,邵国柱,7154784.0,0.88
321,002110.SZ,20190427,20190331,福建三钢(集团)三明化工有限责任公司,17506763.0,1.07
322,002110.SZ,20190427,20190331,福建省高速公路养护工程有限公司,27958189.0,1.71
323,002110.SZ,20190427,20190331,全国社保基金四零三组合,13899585.0,0.85
324,002110.SZ,20190427,20190331,香港中央结算有限公司(陆股通),13801954.0,0.84
325,002110.SZ,20190427,20190331,华夏人寿保险股份有限公司-自有资金,12441534.0,0.76
326,002110.SZ,20190427,20190331,福建省安溪荣德矿业有限公司,24411908.0,1.49
327,002110.SZ,20190427,20190331,福建省投资开发集团有限责任公司,8751782.0,0.54
328,002110.SZ,20190427,20190331,福建省三钢(集团)有限责任公司,899159605.0,55.02
329,002110.SZ,20190427,20190331,福建三安集团有限公司,65217072.0,3.99
330,002110.SZ,20190427,20190331,华夏人寿保险股份有限公司-万能保险产品,27333390.0,1.67
331,300660.SZ,20190425,20190331,佰卓发展有限公司,51853914.0,27.78
332,300660.SZ,20190425,20190331,常州合利股权投资合伙企业(有限合伙),8720310.0,4.67
333,300660.SZ,20190425,20190331,常州利诺股权投资合伙企业(有限合伙),6823217.0,3.66
334,300660.SZ,20190425,20190331,深圳市星森资产管理有限公司-星森二期私募基金,947034.0,0.51
335,300660.SZ,20190425,20190331,常州雷利投资有限公司,69060559.0,37.0
336,300660.SZ,20190425,20190331,吴军,624221.0,0.33
337,300660.SZ,20190425,20190331,黄亮,292025.0,0.16
338,300660.SZ,20190425,20190331,王鹰,239780.0,0.13
339,300660.SZ,20190425,20190331,刘文其,230120.0,0.12
340,300660.SZ,20190425,20190331,朱卫东,212100.0,0.11
